Video_Id,Title,Published_date,Views,Likes,Favorite,Comments,Playlist_id,Inserted_date
UWKEzv5R8Jc,"ஆகஸ்ட் 5, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-05,45,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Hkkx_tdLmI4,இன்னொரு day இன்னொரு Slay பாகம் 3,2024-08-05,100,3,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
UURpt9cGiZI,"ஆகஸ்ட் 2, 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-02,137,1,0,1.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
fuDK2lF6qlc,"உட்லண்ட்ஸ், துவாஸ் சோதனைச் சாவடிகளில் கடும் நெரிசல் ஏற்படலாம்",2024-08-02,80,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
fHhb-ebnfUU,ஆசிரியர்களுக்கான தமிழ் முரசு சந்தாரார் கணக்கு செயல்பாட்டை எப்படி தொடங்குவது,2024-08-02,88,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
7D9e-I1f8ug,தலைமைத்துவப் பண்பை வளர்த்துக்கொண்ட 17 வயது ஜெப்ரிக்கு அதிபர் விருது,2024-08-02,44,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
STo6CAae85c,01 ஆகஸ்ட் 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்,2024-08-01,70,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
9yLVRaxvLCE,என்டியுசி உறுப்பினர்களுக்கு ஒரு வெள்ளிக்குக் காலை உணவு!,2024-08-01,435,5,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
5_GdJMuTpSI,S1E3: இன்னொரு day இன்னொரு Slay பாகம் 3: Tarot அட்டைகள் பயன்படுத்தும் சோதிட முறை,2024-08-01,81,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
5k5xfUaCagg,காலிறுதிக்கு முந்தைய சுற்றுக்குத் தகுதிபெற்றுள்ள இயோ ஜியா மின்,2024-07-31,249,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
fvgJEWcqku0,"ஜூலை 31, 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-31,139,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
GGVDuBXcuX4,"ஜூலை 30, 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-30,44,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
97qUPJh8CwQ,அடுத்த ஐந்து ஆண்டுகளில் தெமாசெக் அமெரிக்காவில் $40 பில்லியன் முதலீடு செய்ய திட்டம்,2024-07-30,429,12,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
lML3PKW3ueE,இந்திய குவாலியர் தொழிலாளர் விலை உயர்ந்த வைரம் ஒன்றை கண்டறிந்தார்.,2024-07-29,131,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
HIKIwNB296o,"29 ஜூலை 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-29,66,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
nhgfa7-t7dY,குவாலியரில் விலை உயர்ந்த வைரத்தைக் கண்டுபிடித்த இந்தியத் தொழிலாளர்,2024-07-29,456,8,0,3.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
a28g_-hpBM0,S1E2: இன்னொரு day இன்னொரு slay: சோறு தான் முக்கியம்!,2024-07-29,132,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
